symbol,name,industry,exchange,sic,quandl_price_code,quandl_ratios_code,quandl_wiki_code
ABIX,"Abatix Corp",Machinery,PINK,,GOOG/PINK_ABIX,DMDRN/ABIX_ALLFINANCIALRATIOS
ABKFQ,"Ambac Fin'l Group","Financial Svcs. (Div.)",PINK,6100,GOOG/PINK_ABKFQ,DMDRN/ABKFQ_ALLFINANCIALRATIOS
ABLE,"Able Energy Inc","Retail Store",PINK,5300,GOOG/PINK_ABLE,DMDRN/ABLE_ALLFINANCIALRATIOS
ABM,"Abm Industries Incorporated","Industrial Services",NYSE,7300,GOOG/NYSE_ABM,DMDRN/ABM_ALLFINANCIALRATIOS,WIKI/ABM
ABMC,"American Bio Medica Corp","Medical Services",PINK,8000,GOOG/PINK_ABMC,DMDRN/ABMC_ALLFINANCIALRATIOS
ABMD,Abiomed,"Medical Supplies",NASDAQ,8060,GOOG/NASDAQ_ABMD,DMDRN/ABMD_ALLFINANCIALRATIOS,WIKI/ABMD
ABNS,"Alliance Bancshares Ca.",Bank,PINK,6000,GOOG/PINK_ABNS,DMDRN/ABNS_ALLFINANCIALRATIOS
ABPI,"Accents Biopharmaceuticals",Drug,PINK,2834,GOOG/PINK_ABPI,DMDRN/ABPI_ALLFINANCIALRATIOS
ABT,"Abbott Laboratories","Medical Supplies",NYSE,8060,GOOG/NYSE_ABT,DMDRN/ABT_ALLFINANCIALRATIOS,WIKI/ABT
ABTL,"Autobytel Inc.",Internet,NASDAQ,7370,GOOG/NASDAQ_ABTL,DMDRN/ABTL_ALLFINANCIALRATIOS
ABVA,"Alliance Bankshares Corp.",Bank,NASDAQ,6000,GOOG/NASDAQ_ABVA,DMDRN/ABVA_ALLFINANCIALRATIOS
ABWG,"A.B. Watley Group Inc","Financial Svcs. (Div.)",PINK,6100,GOOG/PINK_ABWG,DMDRN/ABWG_ALLFINANCIALRATIOS
ABX,"Barrick Gold Corp.","Gold/Silver Mining",NYSE,1041,GOOG/NYSE_ABX,DMDRN/ABX_ALLFINANCIALRATIOS
ACAD,"Acadia Pharmaceuticals Inc.",Drug,NASDAQ,2834,GOOG/NASDAQ_ACAD,DMDRN/ACAD_ALLFINANCIALRATIOS,WIKI/ACAD
ACAS,"American Capital","Financial Svcs. (Div.)",NASDAQ,6100,GOOG/NASDAQ_ACAS,DMDRN/ACAS_ALLFINANCIALRATIOS,WIKI/ACAS
ACAT,"Arctic Cat Inc.",Recreation,NASDAQ,7900,GOOG/NASDAQ_ACAT,DMDRN/ACAT_ALLFINANCIALRATIOS,WIKI/ACAT
ACC,"American Campus Communities Inc",R.E.I.T.,NYSE,6720,GOOG/NYSE_ACC,DMDRN/ACC_ALLFINANCIALRATIOS
ACCL,Accelrys,"Telecom. Equipment",NASDAQ,4811,GOOG/NASDAQ_ACCL,DMDRN/ACCL_ALLFINANCIALRATIOS,WIKI/ACCL
ACCO,"Acco Brands Corp.",Internet,NYSE,7370,GOOG/NYSE_ACCO,DMDRN/ACCO_ALLFINANCIALRATIOS,WIKI/ACCO
ACCP,"Access Pharmaceuticals Inc",Drug,PINK,2834,GOOG/PINK_ACCP,DMDRN/ACCP_ALLFINANCIALRATIOS
ACE,"Ace Limited","Insurance (Prop/Casualty",NYSE,6330,GOOG/NYSE_ACE,DMDRN/ACE_ALLFINANCIALRATIOS,WIKI/ACE
ACEL,"Alfacell Corp",Drug,PINK,2834,GOOG/PINK_ACEL,DMDRN/ACEL_ALLFINANCIALRATIOS
ACET,"Aceto Corp.","Chemical (Diversified)",NASDAQ,2813,GOOG/NASDAQ_ACET,DMDRN/ACET_ALLFINANCIALRATIOS,WIKI/ACET
ACFC,"Atlantic Coast Federal Corp.",Thrift,NASDAQ,6120,GOOG/NASDAQ_ACFC,DMDRN/ACFC_ALLFINANCIALRATIOS
ACFN,"Acorn Energy","Computer Software/Svcs",NASDAQ,3579,GOOG/NASDAQ_ACFN,DMDRN/ACFN_ALLFINANCIALRATIOS,WIKI/ACFN
ACG,"Alliancebernstein Income Fund Inc","Investment Co.",NYSE,6730,GOOG/NYSE_ACG,DMDRN/ACG_ALLFINANCIALRATIOS
ACGI,"Amacore Group Inc","Precision Instrument",PINK,3800,GOOG/PINK_ACGI,DMDRN/ACGI_ALLFINANCIALRATIOS
ACGL,"Arch Capital Group Ltd","Insurance (Prop/Cas.)",NASDAQ,,GOOG/NASDAQ_ACGL,DMDRN/ACGL_ALLFINANCIALRATIOS,WIKI/ACGL
ACHC,"Acadia Healthcare Company Inc.","Medical Services",NASDAQ,8000,GOOG/NASDAQ_ACHC,DMDRN/ACHC_ALLFINANCIALRATIOS,WIKI/ACHC
ACHN,"Achillion Pharmaceuticals",Drug,NASDAQ,2834,GOOG/NASDAQ_ACHN,DMDRN/ACHN_ALLFINANCIALRATIOS,WIKI/ACHN
ACI,"Arch Coal","Electric Util. (Central)",NYSE,4912,GOOG/NYSE_ACI,DMDRN/ACI_ALLFINANCIALRATIOS,WIKI/ACI
ACIW,"Aci Worldwide","Computer Software/Svcs",NASDAQ,3579,GOOG/NASDAQ_ACIW,DMDRN/ACIW_ALLFINANCIALRATIOS,WIKI/ACIW
ACKBF,"Anthony Clark Int'l Insurance","Insurance (Prop/Cas.)",PINK,6330,GOOG/PINK_ACKBF,DMDRN/ACKBF_ALLFINANCIALRATIOS
ACLP,"AccelPath Inc",Internet,PINK,7370,GOOG/PINK_ACLP,DMDRN/ACLP_ALLFINANCIALRATIOS
ACLS,"Axcelis Technologies",Semiconductor,NASDAQ,3674,GOOG/NASDAQ_ACLS,DMDRN/ACLS_ALLFINANCIALRATIOS,WIKI/ACLS
ACM,"Aecom Technology Corp.","Industrial Services",NYSE,7300,GOOG/NYSE_ACM,DMDRN/ACM_ALLFINANCIALRATIOS,WIKI/ACM
ACME,"Acme Communications Inc",Entertainment,PINK,7950,GOOG/PINK_ACME,DMDRN/ACME_ALLFINANCIALRATIOS
ACMM,"Accom Inc",Electronics,PINK,3670,GOOG/PINK_ACMM,DMDRN/ACMM_ALLFINANCIALRATIOS
ACMP,"Access Midstream Partners L.P.","Pipeline MLPs",NYSE,4619,GOOG/NYSE_ACMP,DMDRN/ACMP_ALLFINANCIALRATIOS
ACMTA,"ACMAT Corp","Insurance (Prop/Casualty",PINK,6330,GOOG/PINK_ACMTA,DMDRN/ACMTA_ALLFINANCIALRATIOS
ACN,"Accenture Plc.","Computer Software & Svcs",NYSE,3579,GOOG/NYSE_ACN,DMDRN/ACN_ALLFINANCIALRATIOS,WIKI/ACN
ACNB,"Acnb Corp.",Bank,NASDAQ,6000,GOOG/NASDAQ_ACNB,DMDRN/ACNB_ALLFINANCIALRATIOS
ACNI,"American Community Newspapers",Newspaper,PINK,2710,GOOG/PINK_ACNI,DMDRN/ACNI_ALLFINANCIALRATIOS
ACO,"Amcol International Corp.","Chemical (Specialty)",NYSE,2820,GOOG/NYSE_ACO,DMDRN/ACO_ALLFINANCIALRATIOS,WIKI/ACO
ACOM,Ancestry.Com,Internet,NASDAQ,7370,GOOG/NASDAQ_ACOM,DMDRN/ACOM_ALLFINANCIALRATIOS
ACOR,"Acorda Therapeutics","Retail Store",NASDAQ,5300,GOOG/NASDAQ_ACOR,DMDRN/ACOR_ALLFINANCIALRATIOS,WIKI/ACOR
ACPW,"Active Power",Electronics,NASDAQ,3670,GOOG/NASDAQ_ACPW,DMDRN/ACPW_ALLFINANCIALRATIOS
ACRX,"Acelrx Pharmaceuticals",Drug,NASDAQ,2834,GOOG/NASDAQ_ACRX,DMDRN/ACRX_ALLFINANCIALRATIOS,WIKI/ACRX
ACSEF,"ACS-Tech80 Ltd",Machinery,PINK,3500,GOOG/PINK_ACSEF,DMDRN/ACSEF_ALLFINANCIALRATIOS
ACTG,"Acacia Research Corp.",Entertainment,NASDAQ,7950,GOOG/NASDAQ_ACTG,DMDRN/ACTG_ALLFINANCIALRATIOS,WIKI/ACTG
ACTS,"Actions Semiconductor Co.",Semiconductor,NASDAQ,3674,GOOG/NASDAQ_ACTS,DMDRN/ACTS_ALLFINANCIALRATIOS
ACTT,"ACT Teleconferencing","Telecom. Services",PINK,4810,GOOG/PINK_ACTT,DMDRN/ACTT_ALLFINANCIALRATIOS
ACTV,"Active Network Inc","Information Services",NYSE,8900,GOOG/NYSE_ACTV,DMDRN/ACTV_ALLFINANCIALRATIOS
ACU,"Acme United Corporation.","Household Products",AMEX,2840,GOOG/AMEX_ACU,DMDRN/ACU_ALLFINANCIALRATIOS
ACUR,"Acura Pharmaceuticals",Drug,NASDAQ,2834,GOOG/NASDAQ_ACUR,DMDRN/ACUR_ALLFINANCIALRATIOS
ACUSD,"Acusphere Inc",Drug,PINK,2834,GOOG/PINK_ACUSD,DMDRN/ACUSD_ALLFINANCIALRATIOS
ACW,"Accuride Corporation New","Auto & Truck",NYSE,3710,GOOG/NYSE_ACW,DMDRN/ACW_ALLFINANCIALRATIOS,WIKI/ACW
ACXM,"Acxiom Corp.","Computer Software & Svcs",NASDAQ,3579,GOOG/NASDAQ_ACXM,DMDRN/ACXM_ALLFINANCIALRATIOS,WIKI/ACXM
ACY,Aerocentury,"Financial Svcs. (Div.)",AMEX,6100,GOOG/AMEX_ACY,DMDRN/ACY_ALLFINANCIALRATIOS
ADAT,"Authentidate Holding","Computer Software/Svcs",NASDAQ,,GOOG/NASDAQ_ADAT,DMDRN/ADAT_ALLFINANCIALRATIOS
ADBE,"Adobe Systems Incorporated","Computer Software & Svcs",NASDAQ,3579,GOOG/NASDAQ_ADBE,DMDRN/ADBE_ALLFINANCIALRATIOS,WIKI/ADBE
ADBN,"Americana Distribution Inc",Publishing,PINK,2700,GOOG/PINK_ADBN,DMDRN/ADBN_ALLFINANCIALRATIOS
ADC,"Agree Realty Corp.",R.E.I.T.,NYSE,6720,GOOG/NYSE_ADC,DMDRN/ADC_ALLFINANCIALRATIOS
ADEP,"Adept Technology","Computer Software/Svcs",NASDAQ,3579,GOOG/NASDAQ_ADEP,DMDRN/ADEP_ALLFINANCIALRATIOS
ADES,Ada-Es,Environmental,NASDAQ,4953,GOOG/NASDAQ_ADES,DMDRN/ADES_ALLFINANCIALRATIOS,WIKI/ADES
ADFS,"American Defense Systems Inc.",Aerospace/Defense,PINK,3720,GOOG/PINK_ADFS,DMDRN/ADFS_ALLFINANCIALRATIOS
