symbol,price_code,company_name,industry,exchange,sic_code
AET,GOOG/NYSE_AET,Aetna Inc.,Medical Services,NYSE,8000
AETI,GOOG/NASDAQ_AETI,American Electric Technologies,Telecom. Equipment,NASDAQ,4811
AEY,GOOG/NASDAQ_AEY,Addvantage Technologies Group,Cable TV,NASDAQ,4840
AEZ.TO,YAHOO/TSX_AEZ_TO,AEterna Zentaris Inc,Drug,TSX,2834
AF,GOOG/NYSE_AF,Astoria Financial Corp.,Investment Co. (Foreign),NYSE,6730
AFAM,GOOG/NASDAQ_AFAM,Almost Family Inc,Medical Services,NASDAQ,8000
AFC,GOOG/NYSE_AFC,Allied Capital Corp.,Insurance (Prop/Casualty,NYSE,6330
AFCB,GOOG/NASDAQ_AFCB,Athens Bancshares Corp.,Thrift,NASDAQ,6120
AFCE,GOOG/NASDAQ_AFCE,Afc Enterprises,Restaurant,NASDAQ,5812
AFFM,GOOG/PINK_AFFM,Affirmative Ins. Hldgs,Insurance (Prop/Cas.),PINK,6330
AFFX,GOOG/NASDAQ_AFFX,Affymetrix,Medical Services,NASDAQ,8000
AFFY,GOOG/NASDAQ_AFFY,Affymax,Pharmacy Services,NASDAQ,5910
AFG,GOOG/NYSE_AFG,American Financial Group,Insurance (Prop/Casualty,NYSE,6330
AFL,GOOG/NYSE_AFL,Aflac Incorporated,Insurance (Life),NYSE,6310
AFOP,GOOG/NASDAQ_AFOP,Alliance Fiber Optic Products,Computers/Peripherals,NASDAQ,
AFPW,GOOG/PINK_AFPW,AlumiFuel Power Corp,Power,PINK,4900
AFSI,GOOG/NASDAQ_AFSI,Amtrust Financial Services,Insurance (Prop/Cas.),NASDAQ,6330
AFT,GOOG/NYSE_AFT,Apollo Senior Floating Rate Fund Inc.,Telecom. Equipment,NYSE,4811
AG,GOOG/NYSE_AG,First Majestic Silver,Machinery,NYSE,3500
AGCI,GOOG/PINK_AGCI,AngelCiti Entertaimnet Inc.,Internet,PINK,7370
AGCO,GOOG/NYSE_AGCO,Agco Corp.,Machinery,NYSE,3500
AGCZ,GOOG/PINK_AGCZ,Andes Gold Corp,Precious Metals,PINK,1041
AGEN,GOOG/NASDAQ_AGEN,Agenus Inc.,Drug,NASDAQ,2834
AGI,GOOG/NYSE_AGI,Alpine Group,Electronics,NYSE,3670
AGII,GOOG/NASDAQ_AGII,Argo Group International Holdings Ltd,Insurance (Prop/Casualty,NASDAQ,6330
AGM,GOOG/NYSE_AGM,Federal Agricultural Mortgage Corp.,Financial Svcs. (Div.),NYSE,6100
AGN,GOOG/NYSE_AGN,Allergan,Medical Supplies,NYSE,8060
AGNM,GOOG/PINK_AGNM,Acrongenomics inc,Biotechnology,PINK,2830
AGO,GOOG/NYSE_AGO,Assured Guaranty Ltd,Financial Svcs. (Div.),NYSE,6100
AGP,GOOG/NYSE_AGP,Amerigroup Corp.,Medical Services,NYSE,
AGRO,GOOG/NYSE_AGRO,Adecoagro S.A.,Food Processing,NYSE,2000
AGU,GOOG/NYSE_AGU,Agrium Inc.,Chemical (Specialty),NYSE,2820
AGX,GOOG/AMEX_AGX,Argan,Food Processing,AMEX,2000
AGYS,GOOG/NASDAQ_AGYS,Agilysys,Electronics,NASDAQ,3670
AH,GOOG/NYSE_AH,Accretive Health,Aerospace/Defense,NYSE,3720
AHAG,GOOG/PINK_AHAG,Alpha Technologies Grp.,Electrical Equipment,PINK,3600
AHC,GOOG/NYSE_AHC,A.H. Belo Corp.,Petroleum (Integrated),NYSE,2900
AHFP,GOOG/PINK_AHFP,American Home Food Prods Inc,Building Materials,PINK,3200
AHGP,GOOG/NASDAQ_AHGP,Alliance Holdings Gp L.P.,Coal,NASDAQ,1220
AHL,GOOG/NYSE_AHL,Aspen Insurance Holdings,Insurance (Prop/Cas.),NYSE,6330
AHNR,GOOG/PINK_AHNR,Athena Silver Corp,Precious Metals,PINK,1041
AHPI,GOOG/NASDAQ_AHPI,Allied Healthcare Products,Medical Supplies,NASDAQ,8060
AHS,GOOG/NYSE_AHS,Amn Healthcare Services Inc,Human Resources,NYSE,
AHX.TO,YAHOO/TSX_AHX_TO,Adherex Technologies INC,Drug,TSX,2834
AI,GOOG/NYSE_AI,Arlington Asset Investment Corp,Telecom. Services,NYSE,4810
AIA,GOOG/AMEX_AIA,S&P Asia 50 Index Ishares,Financial Svcs. (Div.),AMEX,
AICIQ,GOOG/PINK_AICIQ,Acceptance Insurance,Insurance (Prop/Cas.),PINK,6330
AIDO,GOOG/PINK_AIDO,Advanced ID Corp.,Electronics,PINK,3670
AIG,GOOG/NYSE_AIG,American International Group,Financial Svcs. (Div.),NYSE,6100
AIM,GOOG/AMEX_AIM,Aerosonic Corp.,Aerospace/Defense,AMEX,3720
AIMC,GOOG/NASDAQ_AIMC,Altra Holdings,Machinery,NASDAQ,3500
AIMM,GOOG/PINK_AIMM,AutoImmune Inc.,Drug,PINK,2834
AIN,GOOG/NYSE_AIN,Albany International Corp.,Machinery,NYSE,3500
AINV,GOOG/NASDAQ_AINV,Apollo Investment Corp.,Financial Svcs. (Div.),NASDAQ,6100
AIQ,GOOG/NYSE_AIQ,Alliance Healthcare Services,Medical Supplies,NYSE,8060
AIR,GOOG/NYSE_AIR,Aar,Aerospace/Defense,NYSE,3720
AIRI,GOOG/PINK_AIRI,Air Industries Group Inc,Aerospace/Defense,PINK,3720
AIRM,GOOG/NASDAQ_AIRM,Air Methods Corp.,Medical Services,NASDAQ,8000
AIRO,GOOG/PINK_AIRO,Airspan Networks Inc,Telecom. Equipment,PINK,4811
AIRT,GOOG/NASDAQ_AIRT,Air T,Air Transport,NASDAQ,4510
AIT,GOOG/NYSE_AIT,Applied Industrial Technologies,Machinery,NYSE,3500
AIV,GOOG/NYSE_AIV,Apartment Investment And Management,R.E.I.T.,NYSE,6720
AIZ,GOOG/NYSE_AIZ,Assurant,Metal Fabricating,NYSE,3400
AJG,GOOG/NYSE_AJG,Arthur J. Gallagher & Co.,Financial Svcs. (Div.),NYSE,6100
AJSB,GOOG/PINK_AJSB,AJS Bancorp Inc,Thrift,PINK,6120
AKAM,GOOG/NASDAQ_AKAM,Akamai Technologies,Internet,NASDAQ,7370
AKDS,GOOG/PINK_AKDS,Arkados Group Inc,Internet,PINK,7370
AKESQ,GOOG/PINK_AKESQ,Akesis Pharmaceuticals Inc,Recreation,PINK,7900
AKN,GOOG/AMEX_AKN,Safety First Trust,Medical Supplies,AMEX,8060
AKR,GOOG/NYSE_AKR,Acadia Realty Trust,R.E.I.T.,NYSE,6720
AKRX,GOOG/NASDAQ_AKRX,Akorn,Medical Supplies,NASDAQ,8060
AKS,GOOG/NYSE_AKS,Ak Steel Holding Corp.,Steel (Integrated),NYSE,3312
AKSY,GOOG/PINK_AKSY,Aksys Ltd,Drug,PINK,2834
AKZOY,GOOG/PINK_AKZOY,Akzo Nobel NV ADR,Chemical (Diversified),PINK,2813
AL,GOOG/NYSE_AL,Air Lease Corporation Class A C,Metals & Mining (Div.),NYSE,1000
ALAN,GOOG/PINK_ALAN,Alanco Technologies Inc.,Computer Software/Svcs,PINK,
ALB,GOOG/NYSE_ALB,Albemarle Corp.,Chemical (Diversified),NYSE,2813
ALBY,GOOG/PINK_ALBY,Community Capital Bancshares I,Bank,PINK,6000
ALC,GOOG/NYSE_ALC,Assisted Living Concepts Inc.,Packaging & Container,NYSE,2640
ALC.TO,YAHOO/TSX_ALC_TO,Algoma Central Corp.,Maritime,TSX,4400
ALCD,GOOG/PINK_ALCD,Alcide Corp.,Chemical (Specialty),PINK,2820
ALCO,GOOG/NASDAQ_ALCO,Alico,Food Processing,NASDAQ,2000
ALCS,GOOG/NASDAQ_ALCS,Alco Stores Inc,Retail Store,NASDAQ,5300
ALD,GOOG/AMEX_ALD,Asia Local Debt ETF Wisdomtree,Financial Svcs. (Div.),AMEX,6100
ALDA,GOOG/PINK_ALDA,Aldila Inc.,Recreation,PINK,7900
ALDW,GOOG/NYSE_ALDW,Alon USA Partners LP,Petroleum (Producing),NYSE,1300
ALE,GOOG/NYSE_ALE,Allete,Electric Util. (Central),NYSE,4912
ALEX,GOOG/NYSE_ALEX,Alexander And Baldwin Inc,Maritime,NYSE,4400
ALFA,GOOG/AMEX_ALFA,Alphaclone Alternative Alpha Et,Financial Svcs. (Div.),AMEX,6100
ALG,GOOG/NYSE_ALG,Alamo Group,Machinery,NYSE,3500
ALGI,GOOG/PINK_ALGI,Amer. Locker Group,Metal Fabricating,PINK,3400
ALGN,GOOG/NASDAQ_ALGN,Align Technology,Medical Supplies,NASDAQ,8060
ALGT,GOOG/NASDAQ_ALGT,Allegiant Travel Company,Air Transport,NASDAQ,4510
ALIF,GOOG/PINK_ALIF,Artificial Life Inc,Computer Software & Svcs,PINK,3579
ALIM,GOOG/NASDAQ_ALIM,Alimera Sciences,Drug,NASDAQ,2834
ALJ,GOOG/NYSE_ALJ,Alon USA Energy,Petroleum (Producing),NYSE,1300
ALJJ,GOOG/PINK_ALJJ,ALJ Regional Hlds Inc,Cable TV,PINK,4840
ALK,GOOG/NYSE_ALK,Alaska Air Group,Air Transport,NYSE,4510
ALKS,GOOG/NASDAQ_ALKS,Alkermes,Drug,NASDAQ,2834
ALL,GOOG/NYSE_ALL,Allstate Corporation,Insurance (Prop/Casualty,NYSE,6330
ALLB,GOOG/NASDAQ_ALLB,Alliance Bank,Thrift,NASDAQ,6120
ALLN,GOOG/PINK_ALLN,Allin Corporation,Telecom. Equipment,PINK,4811
ALLP,GOOG/PINK_ALLP,Alliance Pharm.,Drug,PINK,2834
ALLT,GOOG/NASDAQ_ALLT,Allot Communications Ltd,Telecom. Services,NASDAQ,4810
ALN,GOOG/AMEX_ALN,American Lorain Corp.,Telecom. Equipment,AMEX,4811
ALNC,GOOG/NASDAQ_ALNC,Alliance Financial Corp.,Bank,NASDAQ,6000
ALNE,GOOG/PINK_ALNE,Alternative Energy & Env. Sol.,Biotechnology,PINK,2830
ALNY,GOOG/NASDAQ_ALNY,Alnylam Pharmaceuticals,Drug,NASDAQ,2834
ALOG,GOOG/NASDAQ_ALOG,Analogic Corp.,Precision Instrument,NASDAQ,3800
ALOT,GOOG/NASDAQ_ALOT,Astro-Med,Computer & Peripherals,NASDAQ,3573
ALPE,GOOG/PINK_ALPE,alpha-En Corp,Entertainment,PINK,7950
ALPN,GOOG/PINK_ALPN,Alpena Bancshares Inc,Thrift,PINK,6120
ALQA,GOOG/PINK_ALQA,Alliqua Inc,Biotechnology,PINK,2830
ALR,GOOG/NYSE_ALR,Alere Inc.,Aerospace/Defense,NYSE,3720
ALRN,GOOG/NASDAQ_ALRN,American Learning Corp.,Medical Services,NASDAQ,8000
ALRT,GOOG/PINK_ALRT,ALR Technologies Inc.,Medical Supplies,PINK,
ALRX,GOOG/PINK_ALRX,AlphaRx Inc,Medical Services,PINK,8000
ALSC,GOOG/PINK_ALSC,Alliance Semiconductor,Semiconductor,PINK,3674
ALSE,GOOG/PINK_ALSE,Alseres Pharmaceuticals Inc,Drug,PINK,2834
ALSK,GOOG/NASDAQ_ALSK,Alaska Communications Systems,Telecom. Services,NASDAQ,4810
ALSN,GOOG/NYSE_ALSN,Allison Transmission Holdings,Auto Parts,NYSE,3716
ALT,GOOG/AMEX_ALT,Diversified Alternatives Trust Ishares,Drug,AMEX,2834
ALTE,GOOG/NASDAQ_ALTE,Alterra Capital Holdings Ltd,Reinsurance,NASDAQ,6399
ALTH,GOOG/NASDAQ_ALTH,Allos Therapeutics,Drug,NASDAQ,2834
ALTI,GOOG/NASDAQ_ALTI,Altair Nanotechnologies Inc.,Computer Software & Svcs,NASDAQ,3579
ALTM,GOOG/PINK_ALTM,Alternate Postal Delivery Inc,Industrial Services,PINK,7300
ALTR,GOOG/NASDAQ_ALTR,Altera Corp.,Semiconductor Cap Equip,NASDAQ,3680
ALTUQ,GOOG/PINK_ALTUQ,Altus Pharmaceuticals Inc,Drug,PINK,2834
ALTX,GOOG/PINK_ALTX,Altex Ind,Petroleum (Producing),PINK,1300
ALU,GOOG/NYSE_ALU,Alcatel Lucent,Toiletries/Cosmetics,NYSE,2844
ALV,GOOG/NYSE_ALV,Autoliv,Auto Parts (OEM),NYSE,3716
ALVR,GOOG/NASDAQ_ALVR,Alvarion Ltd,Wireless Networking,NASDAQ,7380
ALX,GOOG/NYSE_ALX,Alexander's,Retail Store,NYSE,5300
ALXA,GOOG/NASDAQ_ALXA,Alexza Pharmaceuticals,Drug,NASDAQ,2834
ALXN,GOOG/NASDAQ_ALXN,Alexion Pharmaceuticals,Drug,NASDAQ,2834
AM,GOOG/NYSE_AM,American Greetings Corp.,Packaging & Container,NYSE,2640
AMAG,GOOG/NASDAQ_AMAG,Amag Pharmaceuticals,Drug,NASDAQ,2834
AMAR,GOOG/PINK_AMAR,Amarillo Biosciences,Drug,PINK,
AMAT,GOOG/NASDAQ_AMAT,Applied Materials,Semiconductor Cap Equip,NASDAQ,3680
AMBA,GOOG/NASDAQ_AMBA,Ambarella Inc,Semiconductor,NASDAQ,3674
AMBK,GOOG/PINK_AMBK,American Bank Inc.,Bank,PINK,6000
AMBT,GOOG/NASDAQ_AMBT,Ambient Corp,Telecom. Equipment,NASDAQ,4811
AMCC,GOOG/NASDAQ_AMCC,Applied Micro Circuits Corp.,Semiconductor,NASDAQ,3674
AMCF,GOOG/NASDAQ_AMCF,Andatee China Marine Fuel Services,Maritime,NASDAQ,4400
AMCM,GOOG/PINK_AMCM,AM Communications Inc,Telecom. Equipment,PINK,4811
AMCN,GOOG/NASDAQ_AMCN,Airmedia Group Inc,Recreation,NASDAQ,7900
AMCX,GOOG/NASDAQ_AMCX,Amc Networks Inc.,Entertainment,NASDAQ,7950
AMD,GOOG/NYSE_AMD,Advanced Micro Devices,Semiconductor,NYSE,3674
